MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,NIBL,NRB INDUS. BEARINGS LTD.,        30.88,        30.88,        31.00,        30.26,        30.65,                   690073.48,22575,N, ,163,        40.80,        25.30
N,EQ,NICCOPAR,NICCO PARKS & RESORTS LTD,        80.11,        77.05,        82.00,        77.05,        82.00,                    45607.98,567,N, ,10,        98.99,        72.00
N,SM,NIDAN,NIDAN LABS AND HEALTH LTD,        13.50,        13.10,        13.10,        12.85,        13.00,                    38950.00,3000,N, ,3,        24.90,        11.50
N,EQ,NIITLTD,NIIT LIMITED,        85.35,        85.30,        87.90,        85.30,        87.31,                 12075286.76,139121,N, ,1742,       114.41,        49.00
N,EQ,NIITMTS,NIIT LEARNING SYSTEMS LTD,       223.79,       223.79,       226.21,       220.11,       224.60,                 12055485.64,53888,N, ,4420,       443.90,       203.30
N,EQ,NILAINFRA,NILA INFRASTRUCTURES LTD,         6.57,         6.50,         6.65,         6.50,         6.56,                   364647.44,55420,N, ,329,        11.55,         5.90
N,EQ,NILASPACES,NILA SPACES LIMITED,        12.56,        12.63,        13.28,        12.20,        12.48,                 39195527.05,3067089,N, ,10760,        20.47,        11.35
N,EQ,NILE,NILE LTD.,      1452.60,      1475.90,      1479.00,      1450.00,      1456.00,                  1071728.60,735,N, ,141,      2018.90,      1430.00
N,EQ,NILKAMAL,NILKAMAL LIMITED,      1920.50,      1915.70,      1967.80,      1899.40,      1917.20,                 33891120.00,17635,N, ,2486,      2149.50,      1050.50
N,EQ,NIMBSPROJ,NIMBUS PROJECTS LIMITED,       174.99,       183.66,       183.73,       176.20,       183.73,                  4907282.60,27007,N, ,198,       231.23,       141.04
N,EQ,NINSYS,NINTEC SYSTEMS LIMITED,       709.35,       705.85,       709.30,       699.90,       707.90,                   898226.30,1274,N, ,166,       935.00,       281.05
N,EQ,NIPPOBATRY,INDO-NATIONAL LIMITED,       323.55,       317.25,       322.90,       312.95,       315.20,                   702575.65,2222,N, ,141,       490.00,       257.00
